replicate,T_K,T_C,t_eq,ErrTraj,t_eq_mi,T_bin_K
25,313.15,40,266.3316583,0.01980339,266.3316583,311.15
26,283.15,10,1000.0,0.311223641,1000.0,283.15
26,285.15,12,959.798995,0.174885381,708.5427136,283.15
26,287.15,14,1000.0,0.164423737,1000.0,287.15
26,289.15,16,1000.0,0.435326684,824.120603,287.15
26,291.15,18,1000.0,0.071862662,1000.0,291.15
26,293.15,20,1000.0,0.261228215,1000.0,291.15
26,295.15,22,467.3366834,0.157635771,341.7085427,295.15
26,297.15,24,1000.0,0.883542734,412.0603015,295.15
26,299.15,26,678.3919598,0.112325981,407.0351759,299.15
26,301.15,28,452.2613065,0.49586701,135.678392,299.15
26,303.15,30,467.3366834,0.482607547,100.5025126,303.15
26,305.15,32,623.1155779,0.005478197,577.8894472,303.15
26,307.15,34,954.7738693,0.1221997,552.7638191,307.15
26,309.15,36,758.7939698,0.368379886,170.8542714,307.15
26,311.15,38,412.0603015,0.094905192,276.3819095,311.15
26,313.15,40,256.281407,0.029531603,256.281407,311.15
27,283.15,10,1000.0,0.487045986,1000.0,283.15
27,285.15,12,949.7487437,0.347742864,582.9145729,283.15
27,287.15,14,1000.0,0.063190098,1000.0,287.15
27,289.15,16,1000.0,0.353416487,1000.0,287.15
27,291.15,18,1000.0,0.165603615,1000.0,291.15
27,293.15,20,824.120603,0.845275845,658.2914573,291.15
27,295.15,22,854.2713568,0.469956814,733.6683417,295.15
27,297.15,24,889.4472362,2.006972331,613.0653266,295.15
27,299.15,26,618.0904523,0.175194843,457.2864322,299.15
27,301.15,28,366.8341709,0.042830017,135.678392,299.15
27,303.15,30,457.2864322,-7.640642048,105.5276382,303.15
27,305.15,32,1000.0,-0.049732282,793.9698492,303.15
27,307.15,34,1000.0,0.145059047,979.8994975,307.15
27,309.15,36,1000.0,0.45929453,1000.0,307.15
27,311.15,38,1000.0,-0.295616743,723.6180905,311.15
27,313.15,40,201.0050251,0.032362286,201.0050251,311.15
28,283.15,10,1000.0,0.524542869,1000.0,283.15
28,285.15,12,1000.0,0.668878648,1000.0,283.15
28,287.15,14,1000.0,0.089069619,718.5929648,287.15
28,289.15,16,1000.0,-0.005902185,1000.0,287.15
28,291.15,18,1000.0,0.030574746,1000.0,291.15
28,293.15,20,894.4723618,0.227271865,678.3919598,291.15
28,295.15,22,1000.0,0.284679934,1000.0,295.15
28,297.15,24,1000.0,0.513216384,608.040201,295.15
28,299.15,26,618.0904523,0.155694505,306.5326633,299.15
28,301.15,28,346.7336683,0.009041891,175.879397,299.15
28,303.15,30,115.5778894,0.921313154,110.5527638,303.15
28,305.15,32,1000.0,0.006933824,1000.0,303.15
28,307.15,34,1000.0,0.078946386,1000.0,307.15
28,309.15,36,668.3417085,0.344310298,195.9798995,307.15
28,311.15,38,497.4874372,0.036063886,391.959799,311.15
28,313.15,40,1000.0,0.011824785,281.4070352,311.15
29,283.15,10,1000.0,0.796666956,1000.0,283.15
29,285.15,12,1000.0,0.536012738,1000.0,283.15
29,287.15,14,1000.0,0.43648347,849.2462312,287.15
29,289.15,16,1000.0,-0.008954034,834.1708543,287.15
29,291.15,18,1000.0,0.07448582,1000.0,291.15
29,293.15,20,1000.0,0.427839576,1000.0,291.15
29,295.15,22,1000.0,0.693520728,683.4170854,295.15
29,297.15,24,1000.0,-0.141532345,1000.0,295.15
29,299.15,26,1000.0,0.134308324,783.919598,299.15
29,301.15,28,1000.0,0.673683456,748.7437186,299.15
29,303.15,30,361.8090452,0.190261009,361.8090452,303.15
29,305.15,32,1000.0,-0.001278257,728.6432161,303.15
29,307.15,34,1000.0,0.085121955,1000.0,307.15
29,309.15,36,185.9296482,0.324005152,85.42713568,307.15
29,311.15,38,804.0201005,0.481599946,442.2110553,311.15
29,313.15,40,195.9798995,0.012920494,195.9798995,311.15
30,283.15,10,1000.0,0.285781044,1000.0,283.15
30,285.15,12,1000.0,0.278039419,1000.0,283.15
30,287.15,14,1000.0,0.458499541,934.6733668,287.15
30,289.15,16,1000.0,0.217758489,1000.0,287.15
30,291.15,18,1000.0,0.03657425,1000.0,291.15
30,293.15,20,1000.0,0.249053385,1000.0,291.15
30,295.15,22,753.7688442,0.234631662,442.2110553,295.15
30,297.15,24,1000.0,-0.370467109,608.040201,295.15
30,299.15,26,1000.0,0.097857012,854.2713568,299.15
30,301.15,28,386.9346734,0.218463434,165.8291457,299.15
30,303.15,30,517.5879397,-0.650723822,125.6281407,303.15
30,305.15,32,1000.0,-0.04528386,839.1959799,303.15
